,z1,z2,A,r1,r2,r,r0,h,L,Q_theor,eps_theor,etha_theor
590,7,7,215.5506703175167,107.77533515875835,107.77533515875835,34.90153693177435,7.8201258905452296,194.8676384562134,166.6885733291891,1093645289.9078174,2.55185540971651,0.7608829983343833
591,8,4,233.8300494246157,155.88669961641048,77.94334980820524,49.21641536517882,9.872111057004188,206.47092976877516,158.21699559337202,155417293.59580478,2.499251741454357,0.7714796404734776
592,8,4,153.37292723691172,102.24861815794115,51.124309078970576,34.649350253177296,4.470472545343596,108.0371952215678,79.72561647421537,20524303.414049227,1.7379311327007925,0.7786661828487139
593,6,4,226.031078503674,135.6186471022044,90.4124314014696,49.67444938809179,11.122986175087595,234.96955613862707,147.5936041719677,296201535.5310259,2.427627777976933,0.7948525895734246
594,6,4,93.13131212970046,55.87878727782028,37.25252485188018,19.863108090177185,3.6872451852007746,86.3463920069062,65.32249596586597,20456700.70281078,1.5057456212499318,0.7746503462575685
595,7,8,114.98833309074251,53.66122210901317,61.32711098172934,16.682765888325875,0.7562688160027744,96.39294138518903,82.48856961028442,192822894.3233767,1.7776164907326453,0.7615353039375194
596,4,4,218.67846315038744,109.33923157519372,109.33923157519372,58.027665459536784,8.34744837806893,141.64403326350828,111.06126394913464,324164602.11106056,2.118899159495752,0.7745966121865754
597,8,4,294.19801270475307,196.13200846983537,98.06600423491768,66.23123580306472,7.577102110180452,212.55564539198843,188.52178557071224,201127990.07162803,2.6718365646999507,0.7537127702791284
598,8,8,148.0146168135792,74.0073084067896,74.0073084067896,23.094119187858887,3.1229056448180605,85.82206268407383,80.87646219746357,245427107.2547521,1.7546321294062885,0.7496690457322335
599,4,4,201.06544141129143,100.53272070564572,100.53272070564572,60.78873032118402,4.619225433699664,141.35612371673952,137.8052754064526,243788955.27741393,2.355303930640305,0.7434005026287702
600,7,7,262.76569608692193,131.38284804346097,131.38284804346097,51.07492279266904,5.758629117412529,184.7268954083662,178.47578423141036,1322140741.1521873,2.6191974864136616,0.744787674367271
601,8,7,182.19745667924465,97.17197689559715,85.02547978364751,30.880213595575427,4.815915915453786,192.0276644768163,145.86047057414046,502560379.09529257,2.4152890778048546,0.7739706688325212
602,6,6,202.86646792070545,101.43323396035272,101.43323396035272,43.51208067863706,5.844603130547395,276.2169077474792,190.94034824765288,714779065.2054725,2.68391538814536,0.7826521344919257
603,7,4,281.79097461316815,179.3215292992888,102.46944531387932,66.75187259747469,10.045527797436389,208.25551524232517,204.92480763701263,300616142.5195043,2.7496642296389258,0.7388655352865621
604,6,4,316.2963090773192,189.77778544639153,126.51852363092769,59.97663616493178,13.777607289966761,405.861476922527,278.3360172716883,1450745884.7532308,3.009441486598077,0.7814067353047864
605,8,5,284.8365855308108,175.2840526343451,109.55253289646568,61.650544856210296,4.492978010434519,323.76030769133547,219.47543051401163,484433466.02039385,2.8114458330561938,0.7831520961319614
606,8,5,347.8058671619044,214.03437979194118,133.77148736996324,67.80271060549788,12.120830316933285,238.5188573210859,222.19667129808437,1075226188.1298513,2.8223286671708565,0.748797021132808
607,4,4,316.2325721278861,158.11628606394305,158.11628606394305,67.29517689066988,8.861825754163307,184.13328364974905,182.19278792401536,1537743920.4458306,2.6391531316834453,0.7422001852111786
608,8,7,263.6626732296852,140.62009238916545,123.04258084051976,42.254993834185335,6.068805085552095,204.62895543813548,171.82832473880472,1354637523.7714133,2.5820103897298985,0.7639676066596585
609,7,6,318.65247327036707,171.58210099173613,147.07037227863094,68.31998744077873,2.4024485203164034,501.237212980977,314.22960100188686,2068044127.989577,3.1007878149578274,0.7883783730636048
610,8,8,242.77896881249188,121.38948440624594,121.38948440624594,36.49971942082429,2.457007930116113,252.10538776982816,158.29410964161303,1448467756.0878525,2.499747805301768,0.7963244344496339
611,8,5,132.4604367524754,81.51411492460025,50.94632182787515,26.74237669324741,2.966506142949949,118.30165375291116,99.27797817536374,57273704.16575768,1.9917141358627684,0.7603722392958301
612,8,7,332.8601157980873,177.52539509231323,155.33472070577406,60.344805165687305,4.9319726933733525,386.2802937887075,307.56127906827044,3275583768.1117287,3.085113891159016,0.7660449798483788
613,8,8,304.1990655079354,152.0995327539677,152.0995327539677,51.921506258727305,4.356838049074533,303.50551832383144,297.3275351566888,3804821369.805994,3.059967456200339,0.7389506222173245
614,6,4,218.81645778052135,131.28987466831282,87.52658311220854,54.94477263652114,12.479395481776764,241.74170375865847,204.9303740445361,267981703.92763552,2.7496890925301454,0.7573251269878056
615,7,7,220.1761164712632,110.0880582356316,110.0880582356316,40.15964473523507,5.8928719602442925,311.9871916152001,212.09224325775767,1250556821.349926,2.7808796363551966,0.7838407931381807
616,4,4,178.43073240371965,89.21536620185982,89.21536620185982,28.504491105803574,2.1588012759026523,144.50316574189617,94.7489728731118,275826796.4186951,1.9381318539015446,0.7937924994259048
617,7,7,145.11658875463633,72.55829437731816,72.55829437731816,27.263311206306525,4.924708384558644,202.01226889071827,135.3509794544411,320240933.3306209,2.336114236749705,0.7860535762497867
618,7,8,164.54217613895776,76.78634886484696,87.7558272741108,27.54956643583825,2.62771636113254,262.3007824899413,170.83549642502885,788532599.5428368,2.576283713744578,0.7873091527616564
619,8,6,237.25812922728096,135.57607384416056,101.68205538312041,49.369975089585935,2.2511455360513426,215.65614806564616,145.9710038018309,383719980.2251549,2.416081775535203,0.7880300073108814
620,7,8,113.77926544456194,53.096990540795574,60.68227490376637,17.295172836313128,3.5626955113631382,72.24183239653762,66.92392094460651,145794089.55706695,1.5338900047962567,0.7521714245855157
621,8,6,201.97455663456864,115.41403236261066,86.56052427195799,34.99289424268822,3.6514458479193213,266.2989617553779,183.52462267131585,550520150.5281783,2.646163772009506,0.7803938243474282
622,4,4,268.4883153864678,134.2441576932339,134.2441576932339,82.06979473518848,4.92272947222561,233.80153628407768,165.87982805271344,507828511.1000665,2.54699331683595,0.7846385383586326
623,8,4,141.0746726830629,94.04978178870859,47.02489089435429,30.485429490405348,5.20420003036429,111.72873766182266,110.06620447354092,33182655.766234856,2.108784902161649,0.7365349854336743
624,7,5,126.07804171481908,73.54552433364447,52.532517381174614,27.77944973171759,3.107397912025679,107.19629960210251,78.1299564156531,45022561.14155506,1.7143596968710257,0.7802513618195029
625,4,4,309.91174075274535,154.95587037637267,154.95587037637267,97.6082827250611,15.22109232941252,188.52875712196865,163.38875556030425,629557432.097989,2.5318099455766414,0.7617668129008336
626,8,7,136.25812086026096,72.67099779213918,63.58712306812178,25.35534290366937,1.6290123978821796,177.6972518170813,134.43088963980125,215034963.32703632,2.3288043105677363,0.7704739741977437
627,7,8,176.26450485332057,82.2567689315496,94.00773592177097,27.575248369240423,5.712243840700232,194.90047156519924,153.58724647541095,882928509.5105696,2.4688559602661413,0.7703662155625859
628,4,4,93.44082453194936,46.72041226597468,46.72041226597468,27.016333566332676,4.044204040697597,72.97020379829462,67.13541439336032,27292744.599285487,1.5375595062369636,0.7517470238681778
629,8,7,239.6110853102448,127.79257883213056,111.81850647811423,45.45373988226865,3.5051421676598142,234.7537148668737,206.7923579065656,1018525379.7137438,2.757950703134221,0.7545494434302229
630,7,6,172.56082257816138,92.91736600362536,79.64345657453602,28.296383936635657,1.7202828271947816,144.09618814992814,127.37628787547152,364585765.1361671,2.270548374642755,0.7557363708054341
631,7,8,228.03961145821089,106.41848534716509,121.62112611104581,34.85560606797681,3.18758200695479,305.21268287571843,194.0287331943372,1903273512.3455415,2.699023721948794,0.7928452145701144
632,8,8,336.12704863361694,168.06352431680847,168.06352431680847,51.150394448353936,2.949872520906329,364.6125061395084,248.3226759991256,4427325846.637593,2.917490092773616,0.787028143643172
633,6,6,102.37424953882152,51.18712476941076,51.18712476941076,20.868982153468302,2.076030632259182,108.06033365404582,97.05890037816876,93766477.6200158,1.965812874366081,0.7517397682652283
634,8,8,115.18089617135678,57.59044808567839,57.59044808567839,20.840008502873257,1.3398834647302702,158.13787264481988,107.31231296451628,164278728.3697799,2.080217433980332,0.7840911813583353
635,8,8,277.9353040514193,138.96765202570964,138.96765202570964,42.19374055632867,11.711037341209469,210.07182685682264,182.70289380953375,2265978690.116348,2.6418468383258347,0.7600625888646237
636,8,5,218.0083712886918,134.15899771611802,83.84937357257377,46.35762844150722,1.4582671979941138,169.48503173828215,137.25875558433756,181915818.32556358,2.3510691983637244,0.7665797917166172
637,6,7,285.9347701500158,131.96989391539194,153.96487623462392,63.26552507451686,4.382460471843944,387.86089028783977,313.0773554153727,2912830968.999583,3.0981179522175863,0.7639128947675721
638,8,8,210.84197790379025,105.42098895189513,105.42098895189513,34.11614489232016,6.909126579784606,312.5982023620321,196.6358440502984,1292503846.0545144,2.7115102529134893,0.7919333785662805
639,6,8,313.95736964319684,134.55315841851294,179.4042112246839,51.79434125684244,2.190544258146611,274.83391221176123,223.5369614433189,4735657799.0435915,2.8276158559801923,0.7685847562193825
640,6,6,320.3082295704814,160.1541147852407,160.1541147852407,48.44906447273756,13.467394436826234,205.6354534988004,182.88804351335108,2669955430.230596,2.6428219190321633,0.7578361672880444
641,8,5,168.81246725285374,103.88459523252537,64.92787202032835,35.85542459655117,1.6735165248738684,166.41398740709653,154.7166248670393,125504183.910943,2.4763836740045218,0.742837706904982
642,7,7,271.2915886027656,135.6457943013828,135.6457943013828,41.111619601601575,1.791964713730652,284.4992135444418,197.4753405566984,2118976084.514033,2.715480089739829,0.7852038336476154
643,8,5,348.0235116646329,214.16831487054333,133.85519679408958,76.80555043017183,4.467894449648226,354.2539048323644,316.0930246076649,965431436.1198575,3.1050722514135574,0.7486452987674583
644,4,4,117.46520635112071,58.73260317556036,58.73260317556036,31.001640319360206,3.183008489243407,140.28997688095455,114.99066232906875,95907078.24394292,2.157804200957041,0.7631314544110078
645,7,8,184.21465350628563,85.96683830293328,98.24781520335233,30.50189885447131,6.243849131516035,157.01234553972876,142.57767718552412,835976499.1074245,2.3913790949171596,0.7533389479444653
646,8,4,215.4313776217568,143.62091841450453,71.81045920725226,47.12452585266542,1.6001684255718154,144.84496219099017,119.25874304457294,73801101.98287976,2.1982792922751906,0.7644408450727489
647,7,4,224.31995110705068,142.74905979539588,81.57089131165479,54.72853816164905,3.679692259173716,296.45059417045866,185.30877356412003,138924227.45831865,2.6554429372170696,0.7877760962474735
648,7,8,222.3950916478808,103.78437610234438,118.61071554553642,35.69614236355826,5.015599972861748,267.947004489168,224.24283375382,2033165121.2741728,2.830381347451293,0.7609397670102576
649,4,4,161.2369421432713,80.61847107163565,80.61847107163565,44.596467640826056,1.8081385097821774,179.36805080684712,114.33526868128244,157463216.41990054,2.151427346644156,0.7940370425178741
650,4,4,346.29711153066614,173.14855576533307,173.14855576533307,57.29803559076356,6.690158744434712,177.7405510683352,175.52843642843476,2065863834.5077963,2.602953002103696,0.7429679668805149
651,8,8,130.11484319718193,65.05742159859096,65.05742159859096,19.7045804685336,2.766127056830819,144.60107919302132,107.91789570133264,273791734.54376876,2.086573220963147,0.7762040872088869
652,7,8,277.4288316682575,129.4667881118535,147.96204355640398,45.59619101306801,4.243828418666714,275.18405649576647,247.4663822002756,3395710733.808648,2.914615540349184,0.7530103693323996
653,8,6,316.5029113074909,180.85880646142337,135.6441048460675,62.7204606355301,5.195901809879686,278.7755263839865,254.7896249460048,1443159988.9793603,2.93871737154465,0.7494801704712428
654,8,8,197.7727969591337,98.88639847956685,98.88639847956685,31.32462863859594,2.6167810336526522,196.3130896650238,158.283237098375,910386543.8966476,2.4996778836174767,0.767485613301689
655,8,8,196.5300674288785,98.26503371443926,98.26503371443926,31.173112075233554,4.064359503992011,149.82962854581874,138.9760570198235,784222551.3532997,2.364302974479174,0.7503953247507916
656,7,5,194.8999027669817,113.691609947406,81.20829281957572,38.96299132101491,1.9644946343002017,149.25323296225858,110.4217855837749,200628969.56239283,2.1124116624264335,0.7791412731304668
657,4,4,179.7745092717708,89.8872546358854,89.8872546358854,62.52144341201981,4.977557124172479,154.79901131889812,103.37641682996548,68785990.10519698,2.037857211059285,0.7916206738485091
658,8,7,218.68697235819965,116.63305192437315,102.0539204338265,35.51721787279569,1.3753041972494786,257.9799725329094,201.8166547784369,1064052160.6975504,2.7356252091112854,0.7677888536707209
659,7,8,119.30541417435022,55.6758599480301,63.62955422632012,19.846128623284287,2.3085392704662704,89.84826436519658,77.1234512849198,171053886.49180746,1.6992370535660075,0.7620326029047992
660,8,8,274.1302180890796,137.0651090445398,137.0651090445398,43.164385136493415,8.570543432542532,240.613707711311,175.5287113389786,2002865273.1513734,2.6029545351134176,0.7815144226073615
661,8,7,165.70444149362854,88.37570212993522,77.32873936369332,33.102011709000095,1.2587857174223658,127.41758401568926,123.0489053743644,243339391.22225335,2.2327597350845836,0.7433369847325055
662,7,8,136.83706723106994,63.857298041165976,72.97976918990396,21.941814546866983,6.011482680531925,143.25042230730753,123.0388100208647,410173740.11624205,2.232669647110457,0.7595759228919692
663,7,4,348.4744977918474,221.756498594812,126.71799919703541,77.37613691723142,10.733542099009258,263.49162487154354,243.94064594322535,718673538.1804184,2.9026171344046774,0.7479578564791234
664,6,8,233.7511989437193,100.17908526159398,133.57211368212532,42.67530738243683,3.501344643851153,327.5091683499982,210.57784869001108,2233214731.2179227,2.7744147467826976,0.7919470227171126
665,6,5,180.70184540867007,98.56464295018367,82.1372024584864,40.85898242494829,5.998901460911486,175.14321434366306,116.3398830169,208429935.19229648,2.170794324311956,0.7905648228574516
666,6,5,202.91445989336432,110.68061448728963,92.23384540607469,43.960216163196634,10.655648018506158,184.81947597629213,138.65310338780782,361756638.36657536,2.361830488534,0.7774363646137086
